,lat,lon,mci,neighbourhood,occurrencedate,occurrenceday,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear
992,43.6675186,-79.3998337,Assault,Annex (95),1397009700000,9.0,2,April,2014.0,Assault Bodily Harm,Commercial,1397010000000,9,Wednesday ,99,2,April,2014
993,43.7538567,-79.3165894,Assault,Parkwoods-Donalda (45),1398715200000,28.0,20,April,2014.0,Assault,Apartment,1398721800000,28,Monday    ,118,21,April,2014
994,43.6622467,-79.4296722,Break and Enter,Dovercourt-Wallace Emerson-Junction (93),1398672000000,28.0,8,April,2014.0,B&E,Apartment,1398710400000,28,Monday    ,118,18,April,2014
995,43.7348099,-79.2568359,Break and Enter,Eglinton East (138),1399266000000,5.0,5,May,2014.0,B&E,Commercial,1399280820000,5,Monday    ,125,9,May,2014
996,43.7514763,-79.5128098,Robbery,Glenfield-Jane Heights (25),1403654340000,24.0,23,June,2014.0,Robbery - Mugging,Outside,1403655240000,25,Wednesday ,176,0,June,2014
997,43.6348267,-79.5814667,Break and Enter,Markland Wood (12),1403395260000,22.0,0,June,2014.0,B&E,House,1403898900000,27,Friday    ,178,19,June,2014
998,43.6483269,-79.3984146,Assault,Kensington-Chinatown (78),1393160700000,23.0,13,February,2014.0,Assault With Weapon,Other,1393160940000,23,Sunday    ,54,13,February,2014
999,43.6483269,-79.3984146,Assault,Kensington-Chinatown (78),1393160700000,23.0,13,February,2014.0,Assault Bodily Harm,Other,1393160940000,23,Sunday    ,54,13,February,2014
1000,43.6414871,-79.5577011,Assault,Islington-City Centre West (14),1395502200000,22.0,15,March,2014.0,Assault,Apartment,1395504060000,22,Saturday  ,81,16,March,2014
1001,43.6414871,-79.5577011,Assault,Islington-City Centre West (14),1395502200000,22.0,15,March,2014.0,Assault,Apartment,1395504060000,22,Saturday  ,81,16,March,2014
1002,43.7279968,-79.46315,Break and Enter,Downsview-Roding-CFB (26),1401235260000,28.0,0,May,2014.0,B&E W'Intent,House,1401282240000,28,Wednesday ,148,13,May,2014
1003,43.8105812,-79.3198929,Assault,Steeles (116),1401305100000,28.0,19,May,2014.0,Assault With Weapon,House,1401305100000,28,Wednesday ,148,19,May,2014
1004,43.7896233,-79.2588348,Assault,Agincourt South-Malvern West (128),1401620400000,1.0,11,June,2014.0,Assault,Apartment,1401620400000,1,Sunday    ,152,11,June,2014
1005,43.7465439,-79.2203293,Assault,Scarborough Village (139),1401631200000,1.0,14,June,2014.0,Assault,Apartment,1401646920000,1,Sunday    ,152,18,June,2014
1006,43.7220726,-79.4484253,Assault,Yorkdale-Glen Park (31),1401664200000,1.0,23,June,2014.0,Assault,House,1401664440000,1,Sunday    ,152,23,June,2014
1007,43.7220726,-79.4484253,Assault,Yorkdale-Glen Park (31),1401664200000,1.0,23,June,2014.0,Assault With Weapon,House,1401664440000,1,Sunday    ,152,23,June,2014
1008,43.75634,-79.4712906,Break and Enter,York University Heights (27),1397249100000,11.0,20,April,2014.0,B&E,Commercial,1401637740000,1,Sunday    ,152,15,June,2014
1009,43.6681252,-79.3210754,Assault,Greenwood-Coxwell (65),1402187760000,8.0,0,June,2014.0,Assault With Weapon,Outside,1402187760000,8,Sunday    ,159,0,June,2014
1010,43.6681252,-79.3210754,Assault,Greenwood-Coxwell (65),1402187760000,8.0,0,June,2014.0,Assault Bodily Harm,Outside,1402187760000,8,Sunday    ,159,0,June,2014
